date,cape,tr_cape,ecy
1884-02-01,14.805960228816716,18.96024883164489,0.0025658227261833033
1884-03-01,14.736023454014472,18.875642451992512,0.0029697008462466062
1884-04-01,14.353453682579472,18.395357641018045,0.004344405478574287
1884-05-01,13.465050313804905,17.27291894887987,0.0077210795261653115
1884-06-01,12.906876483666863,16.575562457475296,0.013335959139286285
1884-07-01,13.043931585991668,16.76976853063277,0.01077658287522544
1884-08-01,13.859813341769325,17.83206263060006,0.0071264007069202495
1884-09-01,13.569154744335723,17.474388100341244,0.007694843940038734
1884-10-01,13.273251319134156,17.112421679154775,0.009926540077895465
1884-11-01,13.30443760211973,17.173051638572854,0.008452660831066022
1884-12-01,13.432292746944764,17.357970009963747,0.00671391540782626
1885-01-01,13.129817425635963,16.987379177257107,0.00851231582248363
1885-02-01,13.384817593597965,17.334064590871233,0.008292950963367282
1885-03-01,13.734194093452514,17.803189669171854,0.004292613198831882
1885-04-01,13.548548541030058,17.577505686645956,0.005737937472184734
1885-05-01,13.711371872561942,17.804975054591768,0.005144821410869263
1885-06-01,13.978784368698353,18.166486027738838,0.003211112584522613
1885-07-01,14.326658777089326,18.627238981582376,0.0027569141791608243
1885-08-01,15.130410796707155,19.676139676121828,-0.0016484217982207783
1885-09-01,15.116285028724242,19.662671854522625,-0.0017970460660680782
1885-10-01,15.991023962168983,20.799074639680097,-0.0052907838125080126
1885-11-01,16.82403449861902,21.87509966239492,-0.006273332459197541
1885-12-01,16.304475952278526,21.192987772511717,-0.001132552627127921
1886-01-01,16.692317470797658,21.692296410859058,-0.0038685591279262604
1886-02-01,17.006648259461002,22.092422581197702,-0.005100824088172008
1886-03-01,16.843266101570137,21.87322355959163,-0.005816297274969698
1886-04-01,16.801716131246305,21.812473807208228,-0.006115746325158274
1886-05-01,16.863195515097832,21.88583969576427,-0.005358207123118956
1886-06-01,17.831494055376883,23.128666989576484,-0.00721543808205416
1886-07-01,17.84584504153221,23.13006740187336,-0.006163286740313315
1886-08-01,17.72391279961927,22.9549738392198,-0.005608130449167907
1886-09-01,18.14714392580003,23.484613598095915,-0.007953456270479255
1886-10-01,18.562381342866566,24.001461288727935,-0.011092002599045261
1886-11-01,18.968312634942837,24.504279362629482,-0.013247391881082073
1886-12-01,18.194057556886438,23.485324841739722,-0.011670475276021254
1887-01-01,17.512222096304956,22.59075438151064,-0.009020288675654763
1887-02-01,17.125366596972317,22.080922961887403,-0.004139971811610806
1887-03-01,17.473213711513754,22.517438233129706,-0.0009743604392796132
1887-04-01,17.82298363910071,22.953677448902006,-0.004920784000872508
1887-05-01,18.07544542745824,23.264710044683643,-0.0075842111504657375
1887-06-01,17.707695663272986,22.781332053852907,-0.0023459262036217773
1887-07-01,17.43146053561307,22.416555953423345,-0.003661378497069989
1887-08-01,16.739849614820702,21.52061467573705,0.00347795762355306
1887-09-01,16.676629667380144,21.434140136239726,0.003362178487072695
1887-10-01,15.880666812517312,20.40860138764957,0.007416502541443132
1887-11-01,15.950712201066773,20.4958572795052,0.010122384862189325
1887-12-01,15.455513454469944,19.85794687505821,0.014297028255089134
1888-01-01,15.358662514259905,19.731734100274647,0.018720415575164698
